customer_id,region,segment,signup_date,contract_length_months,tenure_days,support_tickets_last_year,satisfaction_score,avg_order_value,orders_last_year,discount_pct,late_payments_last_year,churned
CUST-00001,Europe,SMB,2022-03-18,12,1565,1,6.8,273.74,9,0.106,0,0
CUST-00002,Latin America,SMB,2025-04-30,12,426,1,7.7,217.32,4,0.075,0,0
CUST-00003,Latin America,SMB,2021-08-16,1,1779,5,7.0,143.08,4,0.078,0,0
CUST-00004,North America,SMB,2021-08-01,1,1794,4,7.7,223.35,9,0.048,0,0
CUST-00005,Latin America,Enterprise,2023-10-15,1,989,0,7.3,425.95,8,0.064,0,0
CUST-00006,Europe,SMB,2022-05-19,12,1503,2,9.3,219.73,10,0.182,0,0
CUST-00007,North America,SMB,2023-01-02,24,1275,4,8.3,204.71,3,0.066,1,0
CUST-00008,APAC,Mid-Market,2021-10-22,12,1712,1,9.4,176.34,5,0.041,0,0
CUST-00009,Europe,Mid-Market,2021-08-06,12,1789,6,7.9,256.41,9,0.18,2,1
CUST-00010,Europe,SMB,2024-01-05,36,907,3,7.3,140.54,2,0.05,0,0
CUST-00011,Latin America,Mid-Market,2024-10-29,24,609,2,8.5,216.91,6,0.02,1,0
CUST-00012,North America,SMB,2025-05-29,12,397,1,5.4,110.3,7,0.108,0,1
CUST-00013,Europe,Mid-Market,2022-07-11,24,1450,2,6.4,175.13,8,0.11,0,0
CUST-00014,North America,SMB,2023-06-04,24,1122,1,7.2,70.39,3,0.171,2,0
CUST-00015,APAC,Mid-Market,2021-05-15,24,1872,4,8.3,147.36,11,0.026,0,0
CUST-00016,North America,SMB,2024-11-19,12,588,4,6.4,108.85,5,0.022,0,0
CUST-00017,Latin America,Mid-Market,2025-10-06,12,267,0,7.2,137.93,10,0.167,0,0
CUST-00018,APAC,Enterprise,2024-06-19,1,741,3,7.9,143.29,1,0.005,0,0
CUST-00019,Latin America,Mid-Market,2024-10-31,24,607,6,6.2,131.9,8,0.008,0,1
CUST-00020,North America,SMB,2021-10-28,36,1706,0,2.2,322.5,4,0.001,1,1
CUST-00021,APAC,Enterprise,2021-01-23,1,1984,4,7.3,328.27,5,0.139,0,0
CUST-00022,North America,Mid-Market,2025-02-24,1,491,4,10.0,190.78,9,0.104,0,1
CUST-00023,Latin America,SMB,2025-11-14,1,228,3,9.2,252.71,8,0.084,1,0
CUST-00024,Latin America,Mid-Market,2025-08-07,12,327,3,7.2,116.4,3,0.014,0,0
CUST-00025,APAC,SMB,2023-10-29,12,975,6,7.9,513.47,6,0.018,1,0
CUST-00026,Latin America,SMB,2022-07-31,12,1430,3,7.7,303.21,7,0.138,0,0
CUST-00027,North America,SMB,2022-07-10,12,1451,3,4.8,87.9,2,0.146,0,0
CUST-00028,Europe,SMB,2021-12-16,12,1657,5,7.5,131.67,8,0.098,0,0
CUST-00029,North America,Mid-Market,2023-07-23,12,1073,1,7.5,149.16,7,0.149,0,0
CUST-00030,North America,SMB,2024-02-18,36,863,4,5.0,172.08,4,0.172,1,0
CUST-00031,North America,SMB,2023-10-31,1,973,2,9.2,180.69,8,0.179,1,1
CUST-00032,North America,Mid-Market,2022-09-04,1,1395,5,9.7,68.74,6,0.163,0,0
CUST-00033,North America,Enterprise,2022-03-08,1,1575,2,8.8,118.01,7,0.172,0,0
CUST-00034,APAC,Mid-Market,2023-03-22,1,1196,2,7.9,152.86,2,0.16,0,0
CUST-00035,APAC,Enterprise,2022-04-12,12,1540,1,7.7,221.88,2,0.117,1,0
CUST-00036,North America,SMB,2023-03-11,24,1207,2,5.9,139.59,3,0.105,0,0
