month,region,revenue,cogs,gross_profit,marketing_spend,opex_other,operating_income
2023-01-01,APAC,461113.0,283254.34,177858.65999999997,38230.17,56625.28,83003.20999999999
2023-01-01,Europe,454856.0,280458.4,174397.59999999998,35742.64,59895.72,78759.23999999996
2023-01-01,Latin America,468793.0,288273.74,180519.26,30436.69,46908.58,103173.99
2023-01-01,North America,460007.0,282642.13,177364.87,30502.58,49880.11,96982.17999999998
2023-02-01,APAC,472548.0,290557.42,181990.58000000002,37242.21,50723.05,94025.32000000002
2023-02-01,Europe,494822.0,304503.94,190318.06,39973.5,66371.26,83973.3
2023-02-01,Latin America,496309.0,305052.29,191256.71000000002,36740.47,59241.08,95275.16000000002
2023-02-01,North America,473421.0,290532.77,182888.22999999998,37585.09,56298.75,89004.38999999998
2023-03-01,APAC,572571.0,352024.82,220546.18,47172.52,57764.56,115609.1
2023-03-01,Europe,584544.0,359417.22,225126.78000000003,49339.95,63765.12,112021.71000000002
2023-03-01,Latin America,577038.0,354620.62,222417.38,42714.55,71854.29,107848.54000000002
2023-03-01,North America,581425.0,357821.61,223603.39,35613.4,62078.03,125911.96000000002
2023-04-01,APAC,585926.0,360583.1,225342.90000000002,35818.6,60681.89,128842.41000000002
2023-04-01,Europe,593192.0,366724.31,226467.69,39487.56,80806.39,106173.74
2023-04-01,Latin America,587521.0,359039.69,228481.31,35447.3,64279.42,128754.59000000001
2023-04-01,North America,560975.0,344711.45,216263.55,42457.51,65404.54,108401.49999999997
2023-05-01,APAC,571992.0,351586.64,220405.36,49658.15,75866.17,94881.04
2023-05-01,Europe,573807.0,354187.84,219619.15999999997,39312.59,75507.87,104798.69999999998
2023-05-01,Latin America,580725.0,357133.04,223591.96000000002,48963.36,74691.24,99937.36000000003
2023-05-01,North America,569056.0,349714.79,219341.21000000002,39893.83,63541.76,115905.62
2023-06-01,APAC,494789.0,303625.99,191163.01,38678.64,56327.71,96156.66
2023-06-01,Europe,504842.0,310333.3,194508.7,43501.34,67118.62,83888.74000000002
2023-06-01,Latin America,524187.0,323116.78,201070.21999999997,45368.89,53849.28,101852.04999999996
2023-06-01,North America,525588.0,322644.41,202943.59000000003,32840.49,64750.43,105352.67000000004
2023-07-01,APAC,492889.0,303418.93,189470.07,34552.63,50862.33,104055.11
2023-07-01,Europe,469925.0,289508.66,180416.34000000003,31166.61,62621.35,86628.38000000003
2023-07-01,Latin America,468877.0,289974.44,178902.56,38003.48,56540.71,84358.37
2023-07-01,North America,488782.0,300137.33,188644.66999999998,42952.76,66596.81,79095.09999999998
2023-08-01,APAC,451365.0,276959.56,174405.44,34478.78,48535.66,91391.0
2023-08-01,Europe,426526.0,262620.99,163905.01,36204.18,43233.5,84467.33000000002
2023-08-01,Latin America,426017.0,262054.97,163962.03,30706.85,43396.42,89858.76
2023-08-01,North America,455869.0,280587.67,175281.33000000002,32314.28,58836.4,84130.65000000002
2023-09-01,APAC,410970.0,252863.86,158106.14,31784.22,50112.9,76209.02000000002
2023-09-01,Europe,407063.0,252342.93,154720.07,35175.25,43363.02,76181.80000000002
2023-09-01,Latin America,393732.0,241924.65,151807.35,33052.36,42477.33,76277.66
2023-09-01,North America,401863.0,246959.88,154903.12,26789.96,41569.01,86544.15
2023-10-01,APAC,424301.0,261166.33,163134.67,33851.81,47747.68,81535.18000000002
2023-10-01,Europe,432706.0,265770.65,166935.34999999998,28548.88,55351.22,83035.24999999997
2023-10-01,Latin America,436777.0,268540.75,168236.25,29764.72,55960.16,82511.37
2023-10-01,North America,429733.0,263507.1,166225.90000000002,27501.32,43130.64,95593.94000000002
2023-11-01,APAC,743980.0,458683.47,285296.53,49455.51,102438.6,133402.42
2023-11-01,Europe,737966.0,453237.82,284728.18,65128.14,98898.84,120701.19999999998
2023-11-01,Latin America,726787.0,445379.38,281407.62,49605.45,96146.67,135655.5
2023-11-01,North America,738813.0,453507.56,285305.44,63023.5,99138.65,123143.29000000001
2023-12-01,APAC,870834.0,536673.6,334160.4,54570.14,96821.77,182768.49
2023-12-01,Europe,889546.0,546941.43,342604.56999999995,64094.78,107820.18,170689.60999999993
2023-12-01,Latin America,876129.0,540683.79,335445.20999999996,77966.74,90118.93,167359.53999999998
2023-12-01,North America,862459.0,527813.01,334645.99,63388.29,90648.83,180608.87
2024-01-01,APAC,632378.0,388427.49,243950.51,46444.02,88492.46,109014.03000000001
2024-01-01,Europe,624203.0,384384.3,239818.7,43201.28,70643.35,125974.07
2024-01-01,Latin America,640374.0,393151.59,247222.40999999997,38455.83,70797.52,137969.05999999994
2024-01-01,North America,648884.0,399183.53,249700.46999999997,40703.87,78194.11,130802.48999999998
2024-02-01,APAC,666127.0,411936.43,254190.57,47830.48,69442.4,136917.69
2024-02-01,Europe,686092.0,422025.41,264066.59,44375.46,83038.93,136652.20000000004
2024-02-01,Latin America,660110.0,407316.38,252793.62,48810.44,76625.27,127357.90999999999
2024-02-01,North America,672183.0,412255.37,259927.63,49608.16,92200.65,118118.82
2024-03-01,APAC,785712.0,484488.43,301223.57,51192.7,83279.41,166751.46
2024-03-01,Europe,772480.0,475200.39,297279.61,52047.25,107948.11,137284.25
2024-03-01,Latin America,765178.0,470562.94,294615.06,66176.75,86708.24,141730.07
2024-03-01,North America,766970.0,471096.76,295873.24,63575.12,82625.07,149673.05
