month,market_sentiment_score,inflation_rate_pct
2023-01-01,0.08,2.76
2023-02-01,0.063,2.86
2023-03-01,-0.02,2.84
2023-04-01,0.067,2.55
2023-05-01,-0.135,2.88
2023-06-01,0.019,2.59
2023-07-01,0.028,2.88
2023-08-01,0.028,2.94
2023-09-01,0.057,3.09
2023-10-01,-0.082,2.61
2023-11-01,-0.08,2.93
2023-12-01,-0.014,2.83
2024-01-01,-0.101,3.1
2024-02-01,-0.163,2.73
2024-03-01,-0.13,2.8
2024-04-01,0.034,2.98
2024-05-01,0.105,2.7
2024-06-01,0.183,3.23
2024-07-01,0.088,3.07
2024-08-01,0.236,2.68
2024-09-01,0.146,2.87
2024-10-01,0.211,2.91
2024-11-01,0.342,3.02
2024-12-01,0.285,2.51
2025-01-01,0.478,2.79
2025-02-01,0.373,2.82
2025-03-01,0.385,3.04
2025-04-01,0.355,2.42
2025-05-01,0.291,2.89
2025-06-01,0.312,2.85
2025-07-01,0.323,2.93
2025-08-01,0.316,2.65
2025-09-01,0.301,2.83
2025-10-01,0.321,2.67
2025-11-01,0.177,2.6
2025-12-01,0.243,2.74
2026-01-01,0.306,2.88
2026-02-01,0.074,2.96
2026-03-01,0.134,2.84
2026-04-01,0.083,4.01
2026-05-01,-0.064,3.68
2026-06-01,-0.038,3.6
