date,region,avg_temp_c,precipitation_mm
2023-01-01,North America,13.7,5.4
2023-01-01,Europe,14.9,0.1
2023-01-01,APAC,24.7,3.2
2023-01-01,Latin America,27.5,1.9
2023-01-02,North America,17.8,0.0
2023-01-02,Europe,19.0,15.0
2023-01-02,APAC,27.5,1.6
2023-01-02,Latin America,24.5,2.0
2023-01-03,North America,18.1,3.2
2023-01-03,Europe,12.7,4.5
2023-01-03,APAC,23.7,1.8
2023-01-03,Latin America,28.0,6.7
2023-01-04,North America,16.0,8.4
2023-01-04,Europe,16.2,5.9
2023-01-04,APAC,29.4,4.9
2023-01-04,Latin America,27.2,9.9
2023-01-05,North America,15.9,0.0
2023-01-05,Europe,11.1,3.5
2023-01-05,APAC,23.6,0.0
2023-01-05,Latin America,27.6,0.0
2023-01-06,North America,20.0,0.5
2023-01-06,Europe,14.9,0.0
2023-01-06,APAC,25.3,0.0
2023-01-06,Latin America,25.8,0.0
2023-01-07,North America,13.7,0.0
2023-01-07,Europe,12.1,0.0
2023-01-07,APAC,27.3,3.7
2023-01-07,Latin America,25.6,4.3
2023-01-08,North America,10.1,8.9
2023-01-08,Europe,9.1,9.1
2023-01-08,APAC,26.9,0.0
2023-01-08,Latin America,28.8,0.1
2023-01-09,North America,17.5,4.4
2023-01-09,Europe,12.9,3.1
2023-01-09,APAC,27.6,1.7
2023-01-09,Latin America,24.5,4.9
2023-01-10,North America,23.2,6.0
2023-01-10,Europe,14.8,0.0
2023-01-10,APAC,28.4,0.7
2023-01-10,Latin America,27.0,0.0
2023-01-11,North America,10.8,3.2
2023-01-11,Europe,16.5,0.0
2023-01-11,APAC,28.3,0.0
2023-01-11,Latin America,29.4,1.6
2023-01-12,North America,19.8,2.3
2023-01-12,Europe,17.2,0.0
2023-01-12,APAC,27.5,1.0
2023-01-12,Latin America,27.1,5.7
2023-01-13,North America,17.7,0.0
2023-01-13,Europe,22.6,2.2
2023-01-13,APAC,30.4,0.0
2023-01-13,Latin America,28.2,5.0
2023-01-14,North America,16.1,6.6
2023-01-14,Europe,10.7,2.1
2023-01-14,APAC,33.6,2.1
2023-01-14,Latin America,28.1,16.9
2023-01-15,North America,14.7,0.0
2023-01-15,Europe,15.6,6.5
2023-01-15,APAC,26.8,7.2
2023-01-15,Latin America,27.7,4.8
2023-01-16,North America,14.4,0.0
2023-01-16,Europe,14.6,0.0
2023-01-16,APAC,31.4,6.8
2023-01-16,Latin America,24.7,3.3
2023-01-17,North America,16.0,7.2
2023-01-17,Europe,16.3,4.8
2023-01-17,APAC,29.0,0.0
2023-01-17,Latin America,26.0,6.1
2023-01-18,North America,19.6,4.6
2023-01-18,Europe,21.1,0.0
2023-01-18,APAC,29.2,4.5
2023-01-18,Latin America,29.6,0.0
2023-01-19,North America,21.4,1.9
2023-01-19,Europe,14.8,18.7
2023-01-19,APAC,30.5,1.5
2023-01-19,Latin America,26.5,0.0
2023-01-20,North America,17.3,8.4
2023-01-20,Europe,11.0,0.8
2023-01-20,APAC,28.8,8.8
2023-01-20,Latin America,23.5,4.3
2023-01-21,North America,18.7,8.5
2023-01-21,Europe,17.1,0.4
2023-01-21,APAC,33.1,4.1
2023-01-21,Latin America,30.5,0.0
2023-01-22,North America,20.3,0.0
2023-01-22,Europe,15.6,3.7
2023-01-22,APAC,27.5,1.8
2023-01-22,Latin America,28.0,0.7
2023-01-23,North America,15.4,0.0
2023-01-23,Europe,12.6,3.9
2023-01-23,APAC,28.8,0.0
2023-01-23,Latin America,26.2,0.0
2023-01-24,North America,19.3,0.0
2023-01-24,Europe,12.6,5.1
2023-01-24,APAC,30.7,6.5
2023-01-24,Latin America,25.3,1.5
2023-01-25,North America,21.4,2.5
2023-01-25,Europe,7.7,3.0
2023-01-25,APAC,25.2,0.0
2023-01-25,Latin America,30.0,1.5
2023-01-26,North America,20.0,0.6
2023-01-26,Europe,15.6,0.0
2023-01-26,APAC,28.8,0.0
2023-01-26,Latin America,26.0,0.0
2023-01-27,North America,20.8,4.6
2023-01-27,Europe,16.3,0.0
2023-01-27,APAC,33.4,1.7
2023-01-27,Latin America,32.8,1.0
2023-01-28,North America,13.3,1.6
2023-01-28,Europe,14.3,0.0
2023-01-28,APAC,29.7,2.2
2023-01-28,Latin America,29.0,0.0
2023-01-29,North America,17.0,7.4
2023-01-29,Europe,17.6,9.5
2023-01-29,APAC,25.2,3.0
2023-01-29,Latin America,24.0,1.3
2023-01-30,North America,19.8,1.4
2023-01-30,Europe,11.9,4.3
2023-01-30,APAC,35.5,4.5
2023-01-30,Latin America,26.5,0.3
2023-01-31,North America,14.1,9.2
2023-01-31,Europe,20.3,0.1
2023-01-31,APAC,28.4,4.4
2023-01-31,Latin America,31.7,0.0
2023-02-01,North America,18.4,0.0
2023-02-01,Europe,16.3,12.9
2023-02-01,APAC,34.8,1.2
2023-02-01,Latin America,26.5,1.8
2023-02-02,North America,18.0,0.6
2023-02-02,Europe,21.7,7.2
2023-02-02,APAC,33.6,5.4
2023-02-02,Latin America,31.4,2.1
2023-02-03,North America,19.0,2.3
2023-02-03,Europe,15.6,3.1
2023-02-03,APAC,34.3,6.5
2023-02-03,Latin America,26.0,6.4
2023-02-04,North America,21.2,2.5
2023-02-04,Europe,17.9,0.5
2023-02-04,APAC,34.0,0.0
2023-02-04,Latin America,29.6,3.0
2023-02-05,North America,21.2,0.0
2023-02-05,Europe,17.0,0.0
2023-02-05,APAC,30.1,0.0
2023-02-05,Latin America,25.2,0.0
2023-02-06,North America,22.8,0.0
2023-02-06,Europe,15.9,0.0
2023-02-06,APAC,35.3,0.0
2023-02-06,Latin America,27.0,0.8
2023-02-07,North America,22.6,0.0
2023-02-07,Europe,17.9,3.1
2023-02-07,APAC,34.2,0.0
2023-02-07,Latin America,30.7,0.0
2023-02-08,North America,15.4,2.7
2023-02-08,Europe,19.2,0.0
2023-02-08,APAC,36.8,4.1
2023-02-08,Latin America,34.0,5.6
2023-02-09,North America,21.1,3.4
2023-02-09,Europe,18.2,4.4
2023-02-09,APAC,35.4,0.0
2023-02-09,Latin America,29.8,1.0
2023-02-10,North America,15.8,1.0
2023-02-10,Europe,18.4,2.4
2023-02-10,APAC,37.7,0.6
2023-02-10,Latin America,26.2,0.0
2023-02-11,North America,24.8,5.9
2023-02-11,Europe,19.6,0.0
2023-02-11,APAC,35.5,0.1
2023-02-11,Latin America,23.7,2.4
2023-02-12,North America,25.2,0.8
2023-02-12,Europe,22.2,1.4
2023-02-12,APAC,35.8,3.1
2023-02-12,Latin America,28.2,2.1
2023-02-13,North America,22.5,3.5
2023-02-13,Europe,21.3,0.4
2023-02-13,APAC,29.1,5.3
2023-02-13,Latin America,33.1,0.0
2023-02-14,North America,28.0,6.9
2023-02-14,Europe,19.2,0.0
2023-02-14,APAC,33.7,3.1
2023-02-14,Latin America,32.3,5.8
2023-02-15,North America,22.3,1.1
2023-02-15,Europe,11.2,15.9
2023-02-15,APAC,32.9,4.0
2023-02-15,Latin America,26.5,0.0
2023-02-16,North America,24.8,11.3
2023-02-16,Europe,22.7,4.0
2023-02-16,APAC,28.2,0.0
2023-02-16,Latin America,30.6,3.0
2023-02-17,North America,20.7,5.5
2023-02-17,Europe,16.1,10.8
2023-02-17,APAC,32.8,6.8
2023-02-17,Latin America,32.7,2.8
2023-02-18,North America,20.2,11.7
2023-02-18,Europe,17.6,0.6
2023-02-18,APAC,29.8,7.3
2023-02-18,Latin America,32.4,4.1
2023-02-19,North America,24.0,0.0
2023-02-19,Europe,18.7,0.0
2023-02-19,APAC,38.2,4.6
2023-02-19,Latin America,32.1,9.5
2023-02-20,North America,18.9,0.0
2023-02-20,Europe,20.2,0.0
2023-02-20,APAC,31.2,0.0
2023-02-20,Latin America,32.9,0.0
2023-02-21,North America,22.0,5.3
2023-02-21,Europe,28.2,2.1
2023-02-21,APAC,32.1,0.0
2023-02-21,Latin America,29.4,0.0
2023-02-22,North America,21.3,0.0
2023-02-22,Europe,20.1,4.0
2023-02-22,APAC,29.6,10.1
2023-02-22,Latin America,32.0,3.0
2023-02-23,North America,20.2,0.0
2023-02-23,Europe,15.3,2.1
2023-02-23,APAC,36.1,0.0
2023-02-23,Latin America,35.6,0.0
2023-02-24,North America,26.4,0.0
2023-02-24,Europe,18.8,5.4
2023-02-24,APAC,30.6,0.0
2023-02-24,Latin America,31.6,0.7
2023-02-25,North America,23.1,0.0
2023-02-25,Europe,19.1,5.5
2023-02-25,APAC,32.2,3.2
2023-02-25,Latin America,35.7,0.7
2023-02-26,North America,22.8,6.8
2023-02-26,Europe,12.1,0.0
2023-02-26,APAC,33.8,3.0
2023-02-26,Latin America,35.9,0.5
2023-02-27,North America,30.4,0.0
2023-02-27,Europe,23.0,4.0
2023-02-27,APAC,29.6,7.1
2023-02-27,Latin America,29.9,4.7
2023-02-28,North America,26.0,0.0
2023-02-28,Europe,16.9,1.4
2023-02-28,APAC,28.2,0.0
2023-02-28,Latin America,32.8,0.9
2023-03-01,North America,26.7,9.0
2023-03-01,Europe,21.7,0.0
2023-03-01,APAC,36.5,0.0
2023-03-01,Latin America,30.5,9.1
2023-03-02,North America,19.0,0.7
2023-03-02,Europe,17.6,3.0
2023-03-02,APAC,40.2,1.6
2023-03-02,Latin America,31.2,6.9
2023-03-03,North America,24.2,2.1
2023-03-03,Europe,22.2,3.2
2023-03-03,APAC,31.5,0.7
2023-03-03,Latin America,32.1,9.3
2023-03-04,North America,21.3,6.6
2023-03-04,Europe,20.1,4.5
2023-03-04,APAC,36.9,0.7
2023-03-04,Latin America,36.6,0.4
2023-03-05,North America,20.9,0.0
2023-03-05,Europe,20.3,5.2
2023-03-05,APAC,39.6,17.7
2023-03-05,Latin America,26.3,5.3
2023-03-06,North America,23.4,0.0
2023-03-06,Europe,23.0,0.0
2023-03-06,APAC,33.3,0.3
2023-03-06,Latin America,34.5,7.7
2023-03-07,North America,25.2,1.8
2023-03-07,Europe,17.4,0.4
2023-03-07,APAC,35.8,1.5
2023-03-07,Latin America,32.5,1.4
2023-03-08,North America,27.9,0.0
2023-03-08,Europe,22.3,0.9
2023-03-08,APAC,37.4,0.0
2023-03-08,Latin America,35.1,0.0
2023-03-09,North America,26.9,0.0
2023-03-09,Europe,27.2,1.5
2023-03-09,APAC,36.1,0.0
2023-03-09,Latin America,26.7,0.7
2023-03-10,North America,21.4,1.3
2023-03-10,Europe,14.2,1.3
2023-03-10,APAC,39.4,2.6
2023-03-10,Latin America,35.1,3.7
2023-03-11,North America,23.0,4.8
2023-03-11,Europe,20.7,0.5
2023-03-11,APAC,35.4,0.0
2023-03-11,Latin America,34.9,0.8
2023-03-12,North America,22.9,0.1
2023-03-12,Europe,23.0,2.1
2023-03-12,APAC,37.4,2.1
2023-03-12,Latin America,34.9,0.0
2023-03-13,North America,20.0,6.1
2023-03-13,Europe,20.5,0.0
2023-03-13,APAC,32.6,0.0
2023-03-13,Latin America,33.7,2.1
2023-03-14,North America,24.9,0.8
2023-03-14,Europe,21.4,2.1
2023-03-14,APAC,39.4,1.2
2023-03-14,Latin America,31.6,13.3
2023-03-15,North America,26.8,1.8
2023-03-15,Europe,18.1,1.4
2023-03-15,APAC,33.8,1.4
2023-03-15,Latin America,27.7,1.0
2023-03-16,North America,21.0,5.2
2023-03-16,Europe,21.2,2.0
2023-03-16,APAC,35.7,5.9
2023-03-16,Latin America,35.3,15.4
2023-03-17,North America,27.7,0.2
2023-03-17,Europe,20.0,5.9
2023-03-17,APAC,36.7,2.4
2023-03-17,Latin America,34.3,6.5
2023-03-18,North America,26.1,1.8
2023-03-18,Europe,20.1,1.2
2023-03-18,APAC,33.6,0.0
2023-03-18,Latin America,32.1,4.6
2023-03-19,North America,22.3,0.4
2023-03-19,Europe,26.0,5.3
2023-03-19,APAC,34.4,0.0
2023-03-19,Latin America,32.3,3.0
2023-03-20,North America,19.2,0.0
2023-03-20,Europe,22.6,7.4
2023-03-20,APAC,39.9,0.0
2023-03-20,Latin America,30.5,2.7
2023-03-21,North America,22.6,0.0
2023-03-21,Europe,21.7,1.1
2023-03-21,APAC,36.4,3.1
2023-03-21,Latin America,29.2,3.6
2023-03-22,North America,26.8,1.0
2023-03-22,Europe,21.7,1.3
2023-03-22,APAC,38.2,3.1
2023-03-22,Latin America,32.8,10.0
2023-03-23,North America,22.4,0.1
2023-03-23,Europe,21.0,0.7
2023-03-23,APAC,35.0,7.1
2023-03-23,Latin America,34.3,3.5
2023-03-24,North America,25.5,3.3
2023-03-24,Europe,24.7,4.5
2023-03-24,APAC,32.4,4.8
2023-03-24,Latin America,40.4,1.7
2023-03-25,North America,23.6,0.8
2023-03-25,Europe,24.8,3.4
2023-03-25,APAC,37.6,4.2
2023-03-25,Latin America,35.0,4.7
2023-03-26,North America,24.2,8.5
2023-03-26,Europe,25.2,0.0
2023-03-26,APAC,32.6,4.9
2023-03-26,Latin America,37.2,1.8
2023-03-27,North America,22.8,6.7
2023-03-27,Europe,21.7,0.0
2023-03-27,APAC,38.6,0.0
2023-03-27,Latin America,35.0,6.1
2023-03-28,North America,27.0,8.0
2023-03-28,Europe,27.3,6.1
2023-03-28,APAC,39.2,0.0
2023-03-28,Latin America,34.5,0.0
2023-03-29,North America,22.4,0.6
2023-03-29,Europe,20.1,0.0
2023-03-29,APAC,37.0,0.0
2023-03-29,Latin America,31.6,1.6
2023-03-30,North America,26.0,0.0
2023-03-30,Europe,23.8,0.0
2023-03-30,APAC,33.0,3.1
2023-03-30,Latin America,32.9,3.7
2023-03-31,North America,23.1,0.7
2023-03-31,Europe,23.8,0.0
2023-03-31,APAC,35.4,3.8
2023-03-31,Latin America,31.4,2.4
2023-04-01,North America,24.9,3.7
2023-04-01,Europe,17.4,0.0
2023-04-01,APAC,32.3,1.7
