month,region,revenue,units_sold,cogs,avg_unit_price,month_dt,avg_temp_c,total_precip_mm,competitor_price_index,market_sentiment_score,inflation_rate_pct,marketing_spend,opex_other,operating_income,revenue_lag1,revenue_lag2,revenue_rolling3,units_sold_lag1,units_sold_lag2,units_sold_rolling3,month_num,year,time_idx
2023-02-01,APAC,472548.0,2452,290557.42,194.55123216601817,2023-02-01,33.05714285714286,75.5,99.9,0.063,2.86,37242.21,50723.05,94025.32000000002,461113.0,,,2407.0,,,2,2023,2
2023-03-01,APAC,572571.0,2929,352024.82,193.23650975889782,2023-03-01,36.16129032258065,72.2,100.4,-0.02,2.84,47172.52,57764.56,115609.1,472548.0,461113.0,,2452.0,2407.0,,3,2023,3
2023-04-01,APAC,585926.0,3034,360583.1,190.99767711962835,2023-04-01,36.14333333333333,83.10000000000001,100.17999999999999,0.067,2.55,35818.6,60681.89,128842.41000000002,572571.0,472548.0,502077.3333333333,2929.0,2452.0,2596.0,4,2023,4
2023-05-01,APAC,571992.0,2998,351586.64,191.8409090909091,2023-05-01,32.99677419354838,107.7,100.82000000000001,-0.135,2.88,49658.15,75866.17,94881.04,585926.0,572571.0,543681.6666666666,3034.0,2929.0,2805.0,5,2023,5
2023-06-01,APAC,494789.0,2601,303625.99,191.12121212121212,2023-06-01,27.996666666666666,45.2,99.34,0.019,2.59,38678.64,56327.71,96156.66,571992.0,585926.0,576829.6666666666,2998.0,3034.0,2987.0,6,2023,6
2023-07-01,APAC,492889.0,2601,303418.93,189.94626168224298,2023-07-01,23.603225806451615,91.2,99.58,0.028,2.88,34552.63,50862.33,104055.11,494789.0,571992.0,550902.3333333334,2601.0,2998.0,2877.6666666666665,7,2023,7
2023-08-01,APAC,451365.0,2355,276959.56,191.59259259259258,2023-08-01,18.690322580645162,72.8,102.24,0.028,2.94,34478.78,48535.66,91391.0,492889.0,494789.0,519890.0,2601.0,2601.0,2733.3333333333335,8,2023,8
2023-09-01,APAC,410970.0,2150,252863.86,190.83168316831683,2023-09-01,16.27,93.8,100.5,0.057,3.09,31784.22,50112.9,76209.02000000002,451365.0,492889.0,479681.0,2355.0,2601.0,2519.0,9,2023,9
2023-10-01,APAC,424301.0,2229,261166.33,191.11970074812967,2023-10-01,16.996774193548386,66.60000000000001,100.34,-0.082,2.61,33851.81,47747.68,81535.18000000002,410970.0,451365.0,451741.3333333333,2150.0,2355.0,2368.6666666666665,10,2023,10
2023-11-01,APAC,743980.0,3860,458683.47,191.71689497716895,2023-11-01,19.653333333333332,81.1,100.32000000000001,-0.08,2.93,49455.51,102438.6,133402.42,424301.0,410970.0,428878.6666666667,2229.0,2150.0,2244.6666666666665,11,2023,11
2023-12-01,APAC,870834.0,4576,536673.6,192.55263157894737,2023-12-01,23.700000000000003,108.5,100.5,-0.014,2.83,54570.14,96821.77,182768.49,743980.0,424301.0,526417.0,3860.0,2229.0,2746.3333333333335,12,2023,12
2024-01-01,APAC,632378.0,3292,388427.49,190.67045454545453,2024-01-01,30.067741935483873,66.2,99.08,-0.101,3.1,46444.02,88492.46,109014.03,870834.0,743980.0,679705.0,4576.0,3860.0,3555.0,1,2024,13
2024-02-01,APAC,666127.0,3503,411936.43,192.08700834326578,2024-02-01,32.6448275862069,91.2,100.82000000000001,-0.163,2.73,47830.48,69442.4,136917.69,632378.0,870834.0,749064.0,3292.0,4576.0,3909.3333333333335,2,2024,14
2024-03-01,APAC,785712.0,4108,484488.43,192.83167220376524,2024-03-01,35.83870967741935,106.2,101.44,-0.13,2.8,51192.7,83279.41,166751.46,666127.0,632378.0,723113.0,3503.0,3292.0,3790.3333333333335,3,2024,15
2024-04-01,APAC,760614.0,3926,468094.31,192.29199549041715,2024-04-01,35.39333333333333,73.5,100.78,0.034,2.98,50735.14,94380.22,147404.33,785712.0,666127.0,694739.0,4108.0,3503.0,3634.3333333333335,4,2024,16
2024-05-01,APAC,749288.0,3892,462183.69,191.92629262926292,2024-05-01,32.693548387096776,60.4,100.44,0.105,2.7,48375.03,84320.91,154408.37,760614.0,785712.0,737484.3333333334,3926.0,4108.0,3845.6666666666665,5,2024,17
2024-06-01,APAC,671330.0,3480,415009.23,192.02511415525115,2024-06-01,28.94333333333333,62.0,101.47999999999999,0.183,3.23,45970.79,83399.24,126950.74,749288.0,760614.0,765204.6666666666,3892.0,3926.0,3975.3333333333335,6,2024,18
2024-07-01,APAC,632143.0,3287,390438.56,192.32586786114223,2024-07-01,23.69677419354839,66.6,99.14,0.088,3.07,56852.22,76713.37,108138.85,671330.0,749288.0,727077.3333333334,3480.0,3892.0,3766.0,7,2024,19
2024-08-01,APAC,576700.0,3010,354655.83,190.38761467889907,2024-08-01,18.53548387096774,91.2,99.9,0.236,2.68,35464.33,77588.32,108991.51999999996,632143.0,671330.0,684253.6666666666,3287.0,3480.0,3553.0,8,2024,20
2024-09-01,APAC,505990.0,2630,311097.5,191.65700483091788,2024-09-01,17.203333333333333,69.3,101.17999999999999,0.146,2.87,38086.89,60009.4,96796.21,576700.0,632143.0,626724.3333333334,3010.0,3287.0,3259.0,9,2024,21
2024-10-01,APAC,537722.0,2808,330243.42,191.8139534883721,2024-10-01,17.151612903225807,98.2,100.62,0.211,2.91,42925.42,62066.87,102486.29000000004,505990.0,576700.0,571611.0,2630.0,3010.0,2975.6666666666665,10,2024,22
2024-11-01,APAC,950511.0,4969,582742.15,192.18385650224215,2024-11-01,19.23,54.4,100.53999999999999,0.342,3.02,79308.69,95680.29,192779.87,537722.0,505990.0,540137.3333333334,2808.0,2630.0,2816.0,11,2024,23
2024-12-01,APAC,1111874.0,5786,683027.55,191.7645788336933,2024-12-01,24.33225806451613,83.8,98.94,0.285,2.51,85581.27,120240.75,223024.42999999996,950511.0,537722.0,664741.0,4969.0,2808.0,3469.0,12,2024,24
2025-01-01,APAC,800918.0,4152,492001.93,191.3872387238724,2025-01-01,28.29032258064516,95.2,99.74,0.478,2.79,65411.85,97952.09,145552.13,1111874.0,950511.0,866702.3333333334,5786.0,4969.0,4521.0,1,2025,25
2025-02-01,APAC,786434.0,4136,485329.07,191.55139056831922,2025-02-01,32.85357142857143,105.7,100.78,0.373,2.82,62511.73,102086.52,136506.68,800918.0,1111874.0,954434.3333333334,4152.0,5786.0,4969.0,2,2025,26
2025-03-01,APAC,990025.0,5125,609320.81,192.43478260869566,2025-03-01,35.70322580645161,114.1,99.78,0.385,3.04,65563.03,133256.27,181884.88999999996,786434.0,800918.0,899742.0,4136.0,4152.0,4691.333333333333,3,2025,27
2025-04-01,APAC,927811.0,4869,569553.08,191.85874439461884,2025-04-01,35.64,82.10000000000001,101.86,0.355,2.42,73191.69,97237.12,187829.11000000004,990025.0,786434.0,859125.6666666666,5125.0,4136.0,4471.0,4,2025,28
2025-05-01,APAC,923001.0,4849,568697.55,191.92524377031418,2025-05-01,33.670967741935485,71.0,98.96000000000001,0.291,2.89,74090.26,107914.36,172298.82999999996,927811.0,990025.0,901423.3333333334,4869.0,5125.0,4710.0,5,2025,29
2025-06-01,APAC,843971.0,4419,519080.05,191.6727066817667,2025-06-01,29.12666666666667,103.6,99.25999999999999,0.312,2.85,65869.3,113067.51,145954.14,923001.0,927811.0,946945.6666666666,4849.0,4869.0,4947.666666666667,6,2025,30
2025-07-01,APAC,791731.0,4079,486482.34,192.76666666666668,2025-07-01,24.312903225806455,114.4,98.6,0.323,2.93,61595.69,95115.25,148537.71999999997,843971.0,923001.0,898261.0,4419.0,4849.0,4712.333333333333,7,2025,31
2025-08-01,APAC,692922.0,3588,424166.22,191.7628635346756,2025-08-01,18.364516129032257,53.1,99.82000000000001,0.316,2.65,46659.31,80594.02,141502.45,791731.0,843971.0,852901.0,4079.0,4419.0,4449.0,8,2025,32
2025-09-01,APAC,640763.0,3347,394971.68,191.02090592334494,2025-09-01,15.729999999999999,101.8,99.03999999999999,0.301,2.83,39584.11,67239.75,138967.46000000002,692922.0,791731.0,776208.0,3588.0,4079.0,4028.6666666666665,9,2025,33
2025-10-01,APAC,640796.0,3434,392719.18,190.86666666666667,2025-10-01,16.274193548387096,77.2,100.06,0.321,2.67,45633.73,88835.16,113607.93,640763.0,692922.0,708472.0,3347.0,3588.0,3671.3333333333335,10,2025,34
2025-11-01,APAC,1135148.0,5872,698923.04,191.47203579418345,2025-11-01,19.466666666666665,91.4,99.17999999999999,0.177,2.6,82959.05,157860.97,195404.94,640796.0,640763.0,658160.3333333334,3434.0,3347.0,3456.3333333333335,11,2025,35
2025-12-01,APAC,1335874.0,6946,821686.21,191.65151515151516,2025-12-01,22.835483870967742,110.8,100.2,0.243,2.74,85012.15,142974.43,286201.21,1135148.0,640796.0,805569.0,5872.0,3434.0,4217.666666666667,12,2025,36
2026-01-01,APAC,959562.0,5058,587098.91,191.76688453159042,2026-01-01,29.41290322580645,78.7,99.02000000000001,0.306,2.88,64517.8,99663.36,208281.93,1335874.0,1135148.0,1037272.6666666666,6946.0,5872.0,5417.333333333333,1,2026,37
2026-02-01,APAC,985021.0,5079,605287.48,192.26530612244898,2026-02-01,32.53928571428572,91.5,98.4,0.074,2.96,82082.34,109677.15,187974.0300000001,959562.0,1335874.0,1143528.0,5058.0,6946.0,5958.666666666667,2,2026,38
2026-03-01,APAC,1145623.0,5937,705769.74,191.94816414686824,2026-03-01,35.88387096774194,110.4,99.36,0.134,2.84,93583.38,121765.51,224504.37,985021.0,959562.0,1093485.6666666667,5079.0,5058.0,5694.333333333333,3,2026,39
2026-04-01,APAC,1036102.08,5280,636218.97,196.8740425531915,2026-04-01,35.4,76.8,88.16,0.083,4.01,67653.93,119054.66,213174.52,1145623.0,985021.0,1030068.6666666666,5937.0,5079.0,5358.0,4,2026,40
2026-05-01,APAC,948584.32,4782,585439.15,196.2835652173913,2026-05-01,33.377419354838715,75.5,90.0,-0.064,3.68,78207.05,120197.09,164741.02999999994,1036102.08,1145623.0,1055582.0266666666,5280.0,5937.0,5432.0,5,2026,41
2026-06-01,APAC,839259.28,4280,515274.77,195.13527272727273,2026-06-01,29.27,71.0,87.7,-0.038,3.6,66824.93,112937.44,144222.14,948584.32,1036102.08,1043436.4666666667,4782.0,5280.0,5333.0,6,2026,42
2023-02-01,Europe,494822.0,2608,304503.94,193.63320463320463,2023-02-01,18.585714285714285,91.2,99.9,0.063,2.86,39973.5,66371.26,83973.3,454856.0,,,2414.0,,,2,2023,2
2023-03-01,Europe,584544.0,2976,359417.22,192.26923076923077,2023-03-01,21.787096774193547,65.0,100.4,-0.02,2.84,49339.95,63765.12,112021.71000000002,494822.0,454856.0,,2608.0,2414.0,,3,2023,3
2023-04-01,Europe,593192.0,3038,366724.31,192.68112543962485,2023-04-01,20.80666666666667,75.1,100.17999999999999,0.067,2.55,39487.56,80806.39,106173.74,584544.0,494822.0,511407.3333333333,2976.0,2608.0,2666.0,4,2023,4
2023-05-01,Europe,573807.0,2973,354187.84,192.82151029748283,2023-05-01,19.080645161290324,67.2,100.82000000000001,-0.135,2.88,39312.59,75507.87,104798.69999999998,593192.0,584544.0,557519.3333333334,3038.0,2976.0,2874.0,5,2023,5
2023-06-01,Europe,504842.0,2688,310333.3,190.3182897862233,2023-06-01,14.483333333333333,37.4,99.34,0.019,2.59,43501.34,67118.62,83888.74000000002,573807.0,593192.0,583847.6666666666,2973.0,3038.0,2995.6666666666665,6,2023,6
2023-07-01,Europe,469925.0,2475,289508.66,190.85273159144893,2023-07-01,9.790322580645162,85.1,99.58,0.028,2.88,31166.61,62621.35,86628.38000000003,504842.0,573807.0,557280.3333333334,2688.0,2973.0,2899.6666666666665,7,2023,7
2023-08-01,Europe,426526.0,2244,262620.99,190.31360946745562,2023-08-01,5.648387096774194,79.0,102.24,0.028,2.94,36204.18,43233.5,84467.33000000002,469925.0,504842.0,516191.3333333333,2475.0,2688.0,2712.0,8,2023,8
2023-09-01,Europe,407063.0,2117,252342.93,190.275,2023-09-01,2.9833333333333334,88.4,100.5,0.057,3.09,35175.25,43363.02,76181.80000000002,426526.0,469925.0,467097.6666666667,2244.0,2475.0,2469.0,9,2023,9
2023-10-01,Europe,432706.0,2254,265770.65,190.73444976076556,2023-10-01,3.225806451612903,137.9,100.34,-0.082,2.61,28548.88,55351.22,83035.24999999997,407063.0,426526.0,434504.6666666667,2117.0,2244.0,2278.6666666666665,10,2023,10
2023-11-01,Europe,737966.0,3824,453237.82,191.85878300803674,2023-11-01,5.283333333333333,65.5,100.32000000000001,-0.08,2.93,65128.14,98898.84,120701.19999999998,432706.0,407063.0,422098.3333333333,2254.0,2117.0,2205.0,11,2023,11
2023-12-01,Europe,889546.0,4674,546941.43,191.97267759562843,2023-12-01,9.912903225806453,98.0,100.5,-0.014,2.83,64094.78,107820.18,170689.60999999993,737966.0,432706.0,525911.6666666666,3824.0,2254.0,2731.6666666666665,12,2023,12
2024-01-01,Europe,624203.0,3227,384384.3,192.359375,2024-01-01,14.851612903225806,97.0,99.08,-0.101,3.1,43201.28,70643.35,125974.07,889546.0,737966.0,686739.3333333334,4674.0,3824.0,3584.0,1,2024,13
2024-02-01,Europe,686092.0,3498,422025.41,192.25882352941176,2024-02-01,19.21034482758621,82.1,100.82000000000001,-0.163,2.73,44375.46,83038.93,136652.20000000004,624203.0,889546.0,750571.6666666666,3227.0,4674.0,3908.3333333333335,2,2024,14
2024-03-01,Europe,772480.0,4060,475200.39,191.25522552255225,2024-03-01,21.748387096774195,82.7,101.44,-0.13,2.8,52047.25,107948.11,137284.25,686092.0,624203.0,733280.3333333334,3498.0,3227.0,3799.6666666666665,3,2024,15
2024-04-01,Europe,783936.0,4064,482030.05,191.93714285714285,2024-04-01,21.373333333333335,79.6,100.78,0.034,2.98,55569.83,93073.6,153262.52,772480.0,686092.0,694258.3333333334,4060.0,3498.0,3595.0,4,2024,16
2024-05-01,Europe,750757.0,3943,461164.25,191.7746947835738,2024-05-01,17.703225806451613,71.6,100.44,0.105,2.7,67125.91,89877.02,132589.82,783936.0,772480.0,747502.6666666666,4064.0,4060.0,3874.0,5,2024,17
2024-06-01,Europe,677394.0,3506,417872.95,192.87543252595157,2024-06-01,12.956666666666667,116.4,101.47999999999999,0.183,3.23,50639.95,86682.11,122198.98999999998,750757.0,783936.0,769057.6666666666,3943.0,4064.0,4022.3333333333335,6,2024,18
2024-07-01,Europe,606141.0,3199,372489.94,190.75339366515837,2024-07-01,9.37741935483871,62.7,99.14,0.088,3.07,37492.79,62494.64,133663.63,677394.0,750757.0,737362.3333333334,3506.0,3943.0,3837.6666666666665,7,2024,19
2024-08-01,Europe,565228.0,2942,348148.49,192.64880273660205,2024-08-01,5.622580645161291,96.7,99.9,0.236,2.68,41742.86,73853.82,101482.83000000002,606141.0,677394.0,678097.3333333334,3199.0,3506.0,3549.3333333333335,8,2024,20
2024-09-01,Europe,515221.0,2729,315105.24,190.137162954279,2024-09-01,2.4699999999999998,80.8,101.17999999999999,0.146,2.87,42552.28,51833.38,105730.1,565228.0,606141.0,616254.3333333334,2942.0,3199.0,3215.6666666666665,9,2024,21
2024-10-01,Europe,543949.0,2851,333871.45,192.05841924398626,2024-10-01,2.129032258064516,65.8,100.62,0.211,2.91,46687.05,68771.98,94618.52,515221.0,565228.0,562196.6666666666,2729.0,2942.0,2956.6666666666665,10,2024,22
2024-11-01,Europe,931552.0,4868,572258.01,191.25589225589226,2024-11-01,4.926666666666667,74.9,100.53999999999999,0.342,3.02,56981.36,109428.55,192884.08,543949.0,515221.0,541466.0,2851.0,2729.0,2840.6666666666665,11,2024,23
2024-12-01,Europe,1117417.0,5813,688180.32,192.0162162162162,2024-12-01,8.667741935483871,57.6,98.94,0.285,2.51,97564.98,113423.04,218248.6600000001,931552.0,543949.0,663574.0,4868.0,2851.0,3482.6666666666665,12,2024,24
2025-01-01,Europe,793391.0,4149,486480.96,191.74834437086093,2025-01-01,14.516129032258064,61.4,99.74,0.478,2.79,62468.45,83215.12,161226.46999999997,1117417.0,931552.0,864306.0,5813.0,4868.0,4510.666666666667,1,2025,25
2025-02-01,Europe,824618.0,4262,507183.17,191.710843373494,2025-02-01,18.625,62.1,100.78,0.373,2.82,72853.63,111683.54,132897.66000000003,793391.0,1117417.0,947453.3333333334,4149.0,5813.0,4943.333333333333,2,2025,26
2025-03-01,Europe,984150.0,5100,604002.13,191.81828073993472,2025-03-01,21.0,110.7,99.78,0.385,3.04,73478.94,108732.43,197936.5,824618.0,793391.0,911808.6666666666,4262.0,4149.0,4741.333333333333,3,2025,27
2025-04-01,Europe,942451.0,4919,578142.26,191.76715410573678,2025-04-01,22.096666666666668,93.6,101.86,0.355,2.42,61615.7,109015.28,193677.76,984150.0,824618.0,867386.3333333334,5100.0,4262.0,4503.666666666667,4,2025,28
2025-05-01,Europe,951937.0,4883,584526.96,191.91166848418757,2025-05-01,19.30322580645161,58.4,98.96000000000001,0.291,2.89,61871.31,106488.96,199049.77,942451.0,984150.0,917073.0,4919.0,5100.0,4760.333333333333,5,2025,29
2025-06-01,Europe,860403.0,4447,527165.11,192.4470989761092,2025-06-01,14.683333333333334,67.3,99.25999999999999,0.312,2.85,73120.21,95344.75,164772.93,951937.0,942451.0,959512.6666666666,4883.0,4919.0,4967.333333333333,6,2025,30
2025-07-01,Europe,788012.0,4008,487888.5,192.2853982300885,2025-07-01,9.587096774193547,88.1,98.6,0.323,2.93,68163.87,106344.68,125614.95,860403.0,951937.0,918263.6666666666,4447.0,4883.0,4749.666666666667,7,2025,31
2025-08-01,Europe,697150.0,3620,429076.69,192.19337016574585,2025-08-01,5.025806451612904,49.6,99.82000000000001,0.316,2.65,53728.1,88004.89,126340.32,788012.0,860403.0,866784.0,4008.0,4447.0,4446.0,8,2025,32
2025-09-01,Europe,634264.0,3246,392134.15,192.9355581127733,2025-09-01,1.99,86.2,99.03999999999999,0.301,2.83,54189.97,82599.09,105340.78999999998,697150.0,788012.0,781855.0,3620.0,4008.0,4025.0,9,2025,33
2025-10-01,Europe,667611.0,3439,412231.29,192.88392857142858,2025-10-01,3.4419354838709677,54.8,100.06,0.321,2.67,56256.12,66770.59,132353.00000000003,634264.0,697150.0,706475.3333333334,3246.0,3620.0,3624.6666666666665,10,2025,34
2025-11-01,Europe,1122366.0,5894,694364.8,192.01003344481606,2025-11-01,5.176666666666667,70.1,99.17999999999999,0.177,2.6,96194.93,116885.2,214921.06999999995,667611.0,634264.0,666341.6666666666,3439.0,3246.0,3435.0,11,2025,35
2025-12-01,Europe,1338579.0,6981,824138.29,191.7448869752422,2025-12-01,9.254838709677419,88.8,100.2,0.243,2.74,103107.2,177341.74,233991.77,1122366.0,667611.0,808080.3333333334,5894.0,3439.0,4193.0,12,2025,36
2026-01-01,Europe,962478.0,5002,592530.51,192.16248636859325,2026-01-01,13.751612903225807,67.2,99.02000000000001,0.306,2.88,84193.16,112540.22,173214.10999999996,1338579.0,1122366.0,1042852.0,6981.0,5894.0,5438.0,1,2026,37
2026-02-01,Europe,979424.0,5136,604713.1,191.80239520958085,2026-02-01,19.25,61.7,98.4,0.074,2.96,73797.98,115020.11,185892.81000000008,962478.0,1338579.0,1141141.0,5002.0,6981.0,5959.0,2,2026,38
2026-03-01,Europe,1144322.0,5998,704454.63,192.30453563714903,2026-03-01,21.761290322580646,103.3,99.36,0.134,2.84,85419.19,151248.28,203199.9,979424.0,962478.0,1093493.6666666667,5136.0,5002.0,5706.333333333333,3,2026,39
2026-04-01,Europe,624019.04,3224,384638.01,197.33939953810625,2026-04-01,21.470000000000002,59.6,88.16,0.083,4.01,39987.56,75128.78,124264.69000000005,1144322.0,979424.0,1028741.3333333334,5998.0,5136.0,5378.666666666667,4,2026,40
2026-05-01,Europe,598279.0,3013,365254.49,196.2193356242841,2026-05-01,19.835483870967742,69.6,90.0,-0.064,3.68,38183.91,64462.47,130378.13,624019.04,1144322.0,915921.68,3224.0,5998.0,4786.0,5,2026,41
2026-06-01,Europe,507785.24,2573,313401.96,196.00850546780072,2026-06-01,15.293333333333333,62.6,87.7,-0.038,3.6,43789.25,59454.7,91139.32999999996,598279.0,624019.04,788873.3466666667,3013.0,3224.0,4078.3333333333335,6,2026,42
2023-02-01,Latin America,496309.0,2561,305052.29,192.6409608091024,2023-02-01,30.49285714285714,60.9,99.9,0.063,2.86,36740.47,59241.08,95275.16000000002,468793.0,,,2477.0,,,2,2023,2
2023-03-01,Latin America,577038.0,3012,354620.62,192.11791383219955,2023-03-01,32.9741935483871,133.0,100.4,-0.02,2.84,42714.55,71854.29,107848.54000000002,496309.0,468793.0,,2561.0,2477.0,,3,2023,3
2023-04-01,Latin America,587521.0,3079,359039.69,192.25934579439252,2023-04-01,32.63,73.10000000000001,100.17999999999999,0.067,2.55,35447.3,64279.42,128754.59,577038.0,496309.0,514046.6666666667,3012.0,2561.0,2683.3333333333335,4,2023,4
2023-05-01,Latin America,580725.0,2995,357133.04,193.2545871559633,2023-05-01,30.864516129032257,97.10000000000001,100.82000000000001,-0.135,2.88,48963.36,74691.24,99937.36000000004,587521.0,577038.0,553622.6666666666,3079.0,3012.0,2884.0,5,2023,5
2023-06-01,Latin America,524187.0,2763,323116.78,191.80095351609057,2023-06-01,27.563333333333333,63.0,99.34,0.019,2.59,45368.89,53849.28,101852.04999999996,580725.0,587521.0,581761.3333333334,2995.0,3079.0,3028.6666666666665,6,2023,6
2023-07-01,Latin America,468877.0,2443,289974.44,195.08076009501187,2023-07-01,20.5258064516129,119.8,99.58,0.028,2.88,38003.48,56540.71,84358.37,524187.0,580725.0,564144.3333333334,2763.0,2995.0,2945.6666666666665,7,2023,7
2023-08-01,Latin America,426017.0,2253,262054.97,188.53658536585365,2023-08-01,17.799999999999997,94.0,102.24,0.028,2.94,30706.85,43396.42,89858.76,468877.0,524187.0,524596.3333333334,2443.0,2763.0,2733.6666666666665,8,2023,8
2023-09-01,Latin America,393732.0,2078,241924.65,190.81023720349563,2023-09-01,13.979999999999999,79.7,100.5,0.057,3.09,33052.36,42477.33,76277.66,426017.0,468877.0,473027.0,2253.0,2443.0,2486.3333333333335,9,2023,9
2023-10-01,Latin America,436777.0,2233,268540.75,194.7280385078219,2023-10-01,15.061290322580644,77.5,100.34,-0.082,2.61,29764.72,55960.16,82511.37,393732.0,426017.0,429542.0,2078.0,2253.0,2258.0,10,2023,10
2023-11-01,Latin America,726787.0,3793,445379.38,191.63824884792626,2023-11-01,17.67,96.2,100.32000000000001,-0.08,2.93,49605.45,96146.67,135655.5,436777.0,393732.0,418842.0,2233.0,2078.0,2188.0,11,2023,11
2023-12-01,Latin America,876129.0,4501,540683.79,192.3115468409586,2023-12-01,21.1,70.1,100.5,-0.014,2.83,77966.74,90118.93,167359.53999999998,726787.0,436777.0,519098.6666666667,3793.0,2233.0,2701.3333333333335,12,2023,12
2024-01-01,Latin America,640374.0,3346,393151.59,192.47533632286996,2024-01-01,25.951612903225808,58.2,99.08,-0.101,3.1,38455.83,70797.52,137969.05999999994,876129.0,726787.0,679897.6666666666,4501.0,3793.0,3509.0,1,2024,13
2024-02-01,Latin America,660110.0,3480,407316.38,192.58156028368793,2024-02-01,30.941379310344825,62.1,100.82000000000001,-0.163,2.73,48810.44,76625.27,127357.91,640374.0,876129.0,747763.3333333334,3346.0,4501.0,3880.0,2,2024,14
