customer_id,region,segment,churn_probability,predicted_clv_12mo,top_churn_drivers
CUST-03269,APAC,Mid-Market,0.952,1404.43,satisfaction_score (+1.45); late_payments_last_year (+1.06); orders_last_year (+0.72)
CUST-00291,Latin America,Mid-Market,0.947,-21.2,orders_last_year (+1.08); support_tickets_last_year (+0.97); avg_order_value (+0.86)
CUST-00507,APAC,Mid-Market,0.946,275.01,late_payments_last_year (+1.26); support_tickets_last_year (+1.16); satisfaction_score (+1.14)
CUST-00599,Europe,SMB,0.934,279.73,satisfaction_score (+1.42); support_tickets_last_year (+0.88); contract_length_months (+0.69)
CUST-02493,North America,SMB,0.932,-24.82,support_tickets_last_year (+1.07); orders_last_year (+0.88); avg_order_value (+0.57)
CUST-00820,APAC,Mid-Market,0.929,298.01,satisfaction_score (+2.14); tenure_days (+0.60); contract_length_months (+0.46)
CUST-02513,Latin America,Mid-Market,0.928,357.97,satisfaction_score (+1.89); late_payments_last_year (+1.01); contract_length_months (+0.60)
CUST-00863,APAC,Mid-Market,0.926,514.17,satisfaction_score (+2.10); contract_length_months (+0.74); tenure_days (+0.65)
CUST-01085,APAC,SMB,0.92,947.76,satisfaction_score (+1.55); tenure_days (+0.73); contract_length_months (+0.72)
CUST-01973,North America,SMB,0.92,120.04,late_payments_last_year (+1.28); tenure_days (+1.09); contract_length_months (+0.64)
CUST-02199,Europe,Enterprise,0.919,1089.96,satisfaction_score (+1.81); tenure_days (+0.78); contract_length_months (+0.68)
CUST-00248,Europe,SMB,0.919,19.4,satisfaction_score (+2.71); orders_last_year (+1.27); contract_length_months (-0.22)
CUST-02143,Latin America,SMB,0.917,653.1,support_tickets_last_year (+1.44); satisfaction_score (+1.40); contract_length_months (+0.82)
CUST-00056,Europe,SMB,0.913,1039.58,satisfaction_score (+2.60); tenure_days (+0.47); discount_pct (+0.41)
CUST-00314,North America,SMB,0.911,2128.79,satisfaction_score (+1.84); contract_length_months (+0.77); tenure_days (+0.39)
CUST-00509,Latin America,Mid-Market,0.911,418.74,satisfaction_score (+1.31); support_tickets_last_year (+1.07); contract_length_months (+0.71)
